School,City,State,Zip,Latitude,Longitude,Team_id
Western Kentucky,Bowling Green,Kentucky,42101,37.0174,-86.4518,1443
Western Michigan,Kalamazoo,Michigan,49001,42.2736,-85.5457,1444
Wichita State,Wichita,Kansas,67201,37.652,-97.259,1455
William and Mary,Williamsburg,Virginia,23185,37.2732,-76.7324,1456
Winthrop,Rock Hill,South Carolina,29730,34.9151,-81.0129,1457
Wisconsin Green Bay,Green Bay,Wisconsin,54301,44.482,-88.0205,1453
Wisconsin Madison,Madison,Wisconsin,53701,43.0696,-89.4239,1458
Wisconsin Milwaukee,Milwaukee,Wisconsin,53201,43.0113,-87.9584,1454
Wofford College,Spartanburg,South Carolina,29301,34.9352,-81.9654,1459
Wright State,Fairborn,Ohio,45324,39.8053,-84.0198,1460
Wyoming,Laramie,Wyoming,82057,41.1095,-106.219,1461
Xavier,Cincinnati,Ohio,45201,39.1668,-84.5382,1462
Yale,New Haven,Connecticut,6501,41.3657,-72.9275,1463
Youngstown State,Youngstown,Ohio,44501,41.0171,-80.8029,1464
